cyc.time_seconds,veh.history.speed_ach_meters_per_second,veh.pt_type.BEV.res.history.soc,battery_energy_step_j,battery_energy_cum_j
0.0,0.0,1.0,0.0,0.0
1.0,0.0,0.999999997791682,3000.0,3000.0
2.0,0.0,0.999999995583364,3000.0,6000.0
3.0,0.894094506,0.9999999796452709,21651.89953581329,27651.89953581329
4.0,2.190531539,0.999999912442832,91294.51314146386,118946.41267727714
5.0,3.621082748,0.9999997786505261,181756.84752089303,300703.2601981702
6.0,5.051633958,0.9999995837267951,264803.8886833411,565507.1488815113
7.0,6.482185167,0.9999993281986456,347134.9910994371,912642.1399809484
8.0,7.733917475,0.9999990519804733,375242.3869791062,1287884.5269600546
9.0,8.762126157,0.9999987854748646,362047.86945018126,1649932.396410236
10.0,9.745630113,0.9999984991838373,388926.3606099189,2038858.7570201547
11.0,10.72913407,0.999998182161691,430674.5857926479,2469533.3428128026
12.0,11.53381912,0.9999978958120593,389005.97462167026,2858539.317434473
13.0,12.11498055,0.9999976674042351,310292.0291226274,3168831.3465571003
14.0,12.51732308,0.999997492216324,237992.77738523364,3406824.1239423337
15.0,12.96437033,0.9999972948690748,268096.23792478675,3674920.3618671205
16.0,13.41141759,0.9999970906919614,277374.60866856494,3952294.9705356853
17.0,13.72435066,0.9999969324843031,214925.10381359787,4167220.0743492832
18.0,14.08198847,0.9999967524280634,244606.40165841015,4411826.476007693
19.0,14.39492154,0.9999965861795643,225848.5860100583,4637675.062017752
20.0,14.70785462,0.9999964161578514,230974.49705265157,4868649.559070404
21.0,14.97608297,0.9999962617469509,209767.20828201668,5078416.767352421
22.0,15.24431132,0.9999961043870722,213773.39517532475,5292190.162527746
23.0,15.46783495,0.9999959642774918,190338.86487764664,5482529.027405392
24.0,15.60194913,0.9999958635261018,136870.7633441567,5619399.790749549
25.0,15.69135858,0.9999957830430934,109336.16693507334,5728735.957684622
26.0,15.95958693,0.9999956177598363,224537.30482563612,5953273.262510259
27.0,16.04899638,0.9999955350197214,112402.44602659969,6065675.708536859
28.0,16.00429165,0.999995518302549,22710.278777363925,6088385.987314222
29.0,15.78076803,0.9999955640101836,-68802.01850718807,6019583.968807034
30.0,15.60194913,0.9999955953920596,-47237.98168837354,5972345.9871186605
31.0,15.42313022,0.9999956265531943,-46905.70796523885,5925440.2791534215
32.0,15.46783495,0.9999955681457614,79346.49757487915,6004786.7767283
33.0,15.5572444,0.9999954885011885,108197.15226249472,6112983.928990795
34.0,15.69135858,0.999995387078216,137783.10810320193,6250767.037093997
35.0,15.95958693,0.9999952217949588,224537.30482563612,6475304.341919634
36.0,16.13840583,0.999995095830901,171122.1726002477,6646426.514519881
37.0,16.18311055,0.9999950338830382,84156.17147513223,6730582.685995013
38.0,16.31722473,0.999994927707822,144239.0313344867,6874821.7173295
39.0,16.40663418,0.999994842679146,115511.45628247317,6990333.173611973
40.0,16.49604363,0.9999947570733407,116295.48636231801,7106628.659974291
41.0,16.54074836,0.9999946933092085,86623.57353302676,7193252.2335073175
42.0,16.54074836,0.9999946520953762,55988.99127326095,7249241.224780578
43.0,16.54074836,0.9999946108815438,55988.99127326095,7305230.216053839
44.0,16.54074836,0.9999945696677115,55988.99127326095,7361219.2073270995
45.0,16.54074836,0.9999945284538792,55988.99127326095,7417208.19860036
46.0,16.54074836,0.9999944872400468,55988.99127326095,7473197.189873621
47.0,16.58545308,0.9999944232466879,86934.97817703705,7560132.168050658
48.0,16.67486253,0.9999943364805687,117871.7729752537,7678003.941025912
49.0,16.89838616,0.9999941820231798,209830.36281444805,7887834.30384036
50.0,17.25602396,0.9999939593571993,302491.73451762256,8190326.038357982
51.0,17.56895704,0.999993754156243,278765.49900997087,8469091.537367953
52.0,17.88189012,0.99999354502668,284102.51127607597,8753194.048644029
53.0,18.19482319,0.9999933319513685,289462.810607583,9042656.859251611
54.0,18.50775627,0.9999931147951643,295006.70344822586,9337663.562699838
55.0,18.86539407,0.9999928692457717,333578.8498168337,9671242.412516672
56.0,19.17832715,0.9999926432233004,307051.5273211199,9978293.939837793
57.0,19.4465555,0.9999924379522216,278860.7605273579,10257154.70036515
58.0,19.67007913,0.9999922544663472,249265.56031702334,10506420.260682173
59.0,19.8041933,0.9999921200462708,182609.67376029887,10689029.934442472
60.0,19.89360275,0.9999920109288418,148236.0273113681,10837265.96175384
